City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,matara,5.9485,80.5353,25.01,82,86,1.88,LK,1676223462
84,necochea,-38.5473,-58.7368,33.77,33,46,4.93,AR,1676223462
85,virginia beach,36.8529,-75.978,11.68,86,100,11.32,US,1676223172
86,marawi,7.9986,124.2928,19.25,96,98,0.17,PH,1676223463
87,erdaojiang,41.7764,126.0319,-12.38,98,89,1.18,CN,1676223463
88,pingliang,35.5392,106.6861,-0.88,95,100,4.42,CN,1676223464
89,provideniya,64.3833,-173.3,-29.41,94,72,3.53,RU,1676223464
90,hirara,24.8,125.2833,22.62,81,20,5.66,JP,1676223464
91,tonj,7.2737,28.6822,32.19,21,23,2.09,SS,1676223465
92,upernavik,72.7868,-56.1549,-25.51,92,100,2.27,GL,1676223465
93,lowestoft,52.4752,1.7516,8.14,86,74,2.37,GB,1676223465
94,cabo san lucas,22.8909,-109.9124,25.9,23,40,5.14,MX,1676223466
95,tura,25.5198,90.2201,17.08,40,0,0.48,IN,1676223466
96,arman,59.7,150.1667,-17.65,95,100,2.87,RU,1676223466
97,kaitangata,-46.2817,169.8464,11.04,95,50,1.44,NZ,1676223467
98,aldan,58.6031,125.3894,-15.84,95,100,5.8,RU,1676223467
99,hermanus,-34.4187,19.2345,22.67,75,58,3.02,ZA,1676223468
100,kendari,-3.945,122.4989,24.05,94,99,1.04,ID,1676223468
101,hofn,64.2539,-15.2082,1.29,96,99,2.33,IS,1676223468
102,znamenskoye,57.1281,73.8282,-24.74,100,70,1.25,RU,1676223469
103,modasa,23.4667,73.3,20.79,19,0,3.79,IN,1676223469
104,busselton,-33.65,115.3333,15.42,74,0,5.21,AU,1676223469
105,mporokoso,-9.3727,30.125,17.3,91,94,0.34,ZM,1676223257
106,dzilam gonzalez,21.2833,-88.9333,23.6,47,9,3.63,MX,1676223470
107,khorinsk,52.1657,109.7726,-20.49,93,89,1.68,RU,1676223470
108,severo-kurilsk,50.6789,156.125,-8.28,62,73,1.47,RU,1676223471
109,port lincoln,-34.7333,135.8667,14.81,75,19,5.4,AU,1676223471
110,airai,-8.9266,125.4092,15.28,95,100,1.4,TL,1676223471
111,nikolskoye,59.7035,30.7861,-1.06,95,100,4.73,RU,1676223472
112,cody,44.5263,-109.0565,7.36,38,0,2.68,US,1676223472
113,xining,36.6167,101.7667,-5.77,89,100,1.57,CN,1676223472
114,avarua,-21.2078,-159.775,25.03,94,75,1.54,CK,1676223473
115,borogontsy,62.6683,131.1683,-31.3,97,100,2.54,RU,1676223473
116,okhotsk,59.3833,143.3,-23.83,88,100,5.47,RU,1676223474
117,ialibu,-6.2821,143.9935,14.15,97,100,0.72,PG,1676223474
118,anaconda,46.1285,-112.9423,-14.45,63,49,2.28,US,1676223475
119,itacarambi,-15.1022,-44.0919,32.25,37,83,1.61,BR,1676223475
120,vallenar,-28.5708,-70.7581,30.63,31,0,3.79,CL,1676223476
121,yei,4.095,30.6779,29.95,20,60,2.12,SS,1676223476
122,pitimbu,-7.4706,-34.8086,31.33,70,100,5.55,BR,1676223476
123,barra do bugres,-15.0725,-57.1811,31.63,51,99,2.23,BR,1676223477
124,luanda,-8.8368,13.2343,26.29,76,31,6.74,AO,1676223290
125,sao felix do xingu,-6.6447,-51.995,30.42,65,27,0.97,BR,1676223477
126,comodoro rivadavia,-45.8667,-67.5,18.92,24,0,5.14,AR,1676223477
127,constitucion,-35.3333,-72.4167,20.33,71,17,6.62,CL,1676223478
128,kochinda,21.7333,84.35,16.52,24,1,1.76,IN,1676223478
129,mahebourg,-20.4081,57.7,26.16,69,40,3.09,MU,1676223478
130,hobart,-42.8794,147.3294,11.26,72,3,2.06,AU,1676223479
131,lompoc,34.6391,-120.4579,13.8,80,0,3.09,US,1676223479
132,kalmunai,7.4167,81.8167,23.05,81,63,2.92,LK,1676223480
133,cocobeach,1.0002,9.5823,27.36,81,53,4.16,GA,1676223480
134,odessa,46.4775,30.7326,0.12,63,1,7.81,UA,1676223428
135,valparaiso,-33.0393,-71.6273,24.13,47,0,6.69,CL,1676223480
136,saskylakh,71.9167,114.0833,-38.4,96,63,3.99,RU,1676223481
137,georgetown,5.4112,100.3354,26.96,94,20,2.06,MY,1676223475
138,upata,8.0086,-62.3989,28.44,39,36,3.28,VE,1676223481
139,luderitz,-26.6481,15.1594,18.73,85,4,2.87,NA,1676223482
140,nome,64.5011,-165.4064,-18.96,71,100,4.63,US,1676223482
